Daily Baseline: People Moving,Crisis: People Moving,x0,y0,x1,y1,Day,Hours,x0_shifted,y0_shifted,x1_shifted,y1_shifted,distance_km,Avg Weekly Baseline: People Moving,Source Category,Destination Category,geometry,index_right,District
12.0,83,62.788086,8.425543,62.963867,8.425543,"May 05, 2021",00:00,76.9071374258069,18.5385396230666,77.0829184258069,18.5385396230666,18.53171519318068,60.0,Pharmacy,Retail,POINT (76.9071374258069 18.5385396230666),96,Latur
11.0,22,62.788086,8.425543,62.963867,8.509829,"May 05, 2021",00:00,76.9071374258069,18.5385396230666,77.0829184258069,18.6228256230666,20.76276666562869,39.0,Pharmacy,Supermarket,POINT (76.9071374258069 18.5385396230666),96,Latur
14.0,21,62.788086,8.425543,63.31543,8.172468,"May 05, 2021",00:00,76.9071374258069,18.5385396230666,77.4344814258069,18.2854646230666,62.34809212545759,43.0,Pharmacy,Park,POINT (76.9071374258069 18.5385396230666),96,Latur
10.0,15,62.788086,8.425543,63.49121,8.425543,"May 05, 2021",00:00,76.9071374258069,18.5385396230666,77.6102614258069,18.5385396230666,74.12681669110937,22.0,Pharmacy,Public Transport,POINT (76.9071374258069 18.5385396230666),96,Latur
12.0,31,62.788086,9.350634,63.13965,9.350634,"May 05, 2021",00:00,76.9071374258069,19.4636306230666,77.2587014258069,19.4636306230666,36.85813607120428,8.0,Public Transport,Residential,POINT (76.9071374258069 19.4636306230666),114,Hingoli
12.0,30,62.788086,9.434505,62.963867,9.098787,"May 05, 2021",00:00,76.9071374258069,19.5475016230666,77.0829184258069,19.2117836230666,41.63551267094398,36.0,Pharmacy,Recreation,POINT (76.9071374258069 19.5475016230666),114,Hingoli
38.0,24,62.788086,9.434505,62.963867,9.434505,"May 05, 2021",00:00,76.9071374258069,19.5475016230666,77.0829184258069,19.5475016230666,18.419412141922823,51.0,Pharmacy,Pharmacy,POINT (76.9071374258069 19.5475016230666),114,Hingoli
14.0,42,62.788086,9.434505,63.051758,9.098787,"May 05, 2021",00:00,76.9071374258069,19.5475016230666,77.17080942580691,19.2117836230666,46.4595478723639,40.0,Pharmacy,Recreation,POINT (76.9071374258069 19.5475016230666),114,Hingoli
22.0,42,62.788086,9.434505,63.13965,9.350634,"May 05, 2021",00:00,76.9071374258069,19.5475016230666,77.2587014258069,19.4636306230666,38.01043617878692,43.0,Pharmacy,Residential,POINT (76.9071374258069 19.5475016230666),114,Hingoli
28.0,120,62.875977,8.425543,62.963867,8.425543,"May 05, 2021",00:00,76.99502842580691,18.5385396230666,77.0829184258069,18.5385396230666,9.265805159585437,125.0,Recreation,Retail,POINT (76.99502842580691 18.5385396230666),96,Latur
17.0,34,62.875977,8.425543,62.963867,8.509829,"May 05, 2021",00:00,76.99502842580691,18.5385396230666,77.0829184258069,18.6228256230666,13.177647934585874,91.0,Recreation,Supermarket,POINT (76.99502842580691 18.5385396230666),96,Latur
10.0,15,62.875977,8.425543,63.31543,8.172468,"May 05, 2021",00:00,76.99502842580691,18.5385396230666,77.4344814258069,18.2854646230666,54.23530927759136,26.0,Recreation,Park,POINT (76.99502842580691 18.5385396230666),96,Latur
19.0,57,62.875977,9.098787,62.963867,9.098787,"May 05, 2021",00:00,76.99502842580691,19.2117836230666,77.0829184258069,19.2117836230666,9.228655410383478,30.0,Residential,Recreation,POINT (76.99502842580691 19.2117836230666),105,Parbhani
